Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  02:45:00,25.699999999999996,0.0,0.0,0.0,0.0,0.0,23.2247819902609,0.0,0.0,22.118927782223743,15.0,26.536818265914917,21.467917565280302,15.0,23.306184887886047,22.094867865358726,15.0,30.0,22.01662362011416,15.0,30.0,22.118077707139236,15.0,30.0,34.61309330828573,42.47880535536896,35.017840196002595,36.14940624923163,33.959962458198916 
 06/01  03:00:00,25.9,0.0,0.0,0.0,0.0,0.0,23.184175772214697,0.0,0.0,22.110881261587004,15.0,27.35200411081314,21.70285762091159,15.0,24.311744570732117,22.07868468120108,15.0,30.0,22.000082493802157,15.0,30.0,22.10768652395265,15.0,30.0,34.80534623807684,40.24653107301697,35.32564661329886,36.45063679861416,34.196954043004254 
 06/01  03:15:00,25.974999999999998,0.0,0.0,0.0,0.0,0.0,23.137859763359277,0.0,0.0,22.10391248921995,15.0,27.948219537734985,21.887078031015196,15.0,25.67605686187744,22.06569200346794,15.0,30.0,21.98737341198471,15.0,30.0,22.09585272583286,15.0,30.0,34.97626639249407,38.54313739830108,35.55391363603928,36.67293203215732,34.45463703991054 
 06/01  03:30:00,26.049999999999997,0.0,0.0,0.0,0.0,0.0,23.0944944466465,0.0,0.0,22.098286995971076,15.0,27.825447216629982,21.973364943708656,15.0,28.009295225143433,22.061222177057836,15.0,30.0,21.98114529785146,15.0,30.0,22.08561167811374,15.0,30.0,35.152974819640505,37.62089306940855,35.68208163342655,36.83692193061742,34.69984910239967 
 06/01  03:45:00,26.125,0.0,0.0,0.0,0.0,0.0,23.053292667095135,0.0,0.0,22.095140714768974,15.0,28.869537010788918,21.993281909940247,15.0,30.0,22.060990561177995,15.0,30.0,21.978783143896184,15.0,30.0,22.077629546751176,15.0,30.0,35.27928745657812,37.36009556813229,35.78723976436777,36.9549018489856,34.91874472614636 
 06/01  04:00:00,26.2,0.0,0.0,0.0,0.0,0.0,23.012047472537503,0.0,0.0,22.09389385476832,15.0,29.782971635460854,21.99170116375865,15.0,30.0,22.061199742575933,15.0,30.0,21.979189830567755,15.0,30.0,22.071172082560512,15.0,30.0,35.37913799443491,37.362779807929456,35.874497832290814,37.014422782112625,35.11516144236519 
 06/01  04:15:00,26.2,0.0,0.0,0.0,0.0,0.0,22.970788597125797,0.0,0.0,22.092080479019124,15.0,30.0,21.992016862510408,15.0,30.0,22.05980782040623,15.0,30.0,21.978457393947057,15.0,30.0,22.06508875797555,15.0,30.0,35.48847178188642,37.36378244112781,35.97765161888053,37.104853668252105,35.30215651094815 
 06/01  04:30:00,26.2,0.0,0.0,0.0,0.0,0.0,22.93076155770089,0.0,0.0,22.089285726739533,15.0,30.0,21.996494152641077,15.0,30.0,22.057398669206574,15.0,30.0,21.976111068755504,15.0,30.0,22.058951052508487,15.0,30.0,35.59917612109325,37.33602397109155,36.08158553453059,37.200267093455636,35.48220008163713 
 06/01  04:45:00,26.2,0.0,0.0,0.0,0.0,0.0,22.89298557977851,0.0,0.0,22.086260323692432,15.0,30.0,22.001083612652053,15.0,30.0,22.055130208178205,15.0,30.0,21.973458282384254,15.0,30.0,22.052897221436726,15.0,30.0,35.70495199635285,37.30883036770999,36.176941951309416,37.29096468042703,35.654533513100006 
 06/01  05:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.857932832460726,0.0,0.0,22.085273510913193,15.0,30.0,22.00374991494212,15.0,30.0,22.05164981591564,15.0,30.0,21.971444827811847,15.0,30.0,22.047170153428716,15.0,30.0,35.767860051301,37.29987606635478,36.300243849713816,37.36923708853597,35.817547748598145 
