Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  02:45:00,25.699999999999996,0.0,0.0,0.0,0.0,0.0,22.7914248029496,0.0,0.0,22.02913887058658,15.0,30.0,21.982463249858043,15.0,29.888598322868347,20.894970442961434,15.0,24.65908694267273,21.93522376352135,15.0,25.0,21.64911370348375,17.982880115509033,24.674527764320374,35.922344440654115,36.624464220981054,48.86734182588725,37.27536678575765,39.24254819725879 
 06/01  03:00:00,25.9,0.0,0.0,0.0,0.0,0.0,22.426158351774397,0.0,0.0,22.025703401815598,15.29913067817688,30.0,21.970636450042573,15.0,29.314490437507626,21.29394018550328,18.52012038230896,24.33554816246032,21.922118419420244,15.0,24.85758781433105,20.165346019831116,15.0,19.674527764320374,35.88264102847765,36.70207799882202,43.92186120051935,37.35867484650255,53.19339348953464 
 06/01  03:15:00,25.974999999999998,0.0,0.0,0.0,0.0,0.0,22.130053606170787,0.0,0.0,22.012707900995593,15.0,30.0,21.950997053311298,15.0,30.0,21.508593891583395,15.751367568969727,23.492221117019653,21.901351899952783,15.0,23.367525577545166,19.53033560882037,15.0,18.86153680086136,36.18684215258727,37.12008077778333,41.80317308481583,37.78286908538722,61.282631703227636 
 06/01  03:30:00,26.049999999999997,0.0,0.0,0.0,0.0,0.0,22.122348316814296,0.0,0.0,21.992587629560685,15.0,30.0,21.926942991229964,15.0,26.034501075744625,19.519633008909643,15.0,18.492221117019653,21.876460619807172,17.914902687072754,26.618546962738037,20.525298954129592,15.0,23.861536800861355,36.56987685329575,37.5417810898631,60.718219803241674,38.20986057429107,52.532934249673936 
 06/01  03:45:00,26.125,0.0,0.0,0.0,0.0,0.0,22.346739074279743,0.0,0.0,21.972469655151315,15.0,30.0,21.905487642332762,15.0,30.0,20.80518421051182,15.0,23.492221117019653,21.85438216157592,16.2568359375,30.0,20.889701750317986,15.0,28.86153680086136,37.0090511510026,37.966532832495275,51.31793589808856,38.64482603218245,47.765634657565585 
 06/01  04:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.500727846639393,0.0,0.0,21.95560354358306,15.0,30.0,21.88588535435118,15.0,30.0,21.60973909855821,15.0,27.779324293136597,21.83783957807466,15.0,28.2507963180542,21.49565340884559,15.0,23.86153680086136,37.090949000315575,38.1228012551476,41.56062276524335,38.72737646102893,41.90553080110133 
 06/01  04:15:00,26.2,0.0,0.0,0.0,0.0,0.0,22.507012290571765,0.0,0.0,21.965745566257663,15.0,30.0,21.89597899532258,15.0,30.0,21.54888920729819,15.0,22.779324293136597,21.84910915093704,15.165571570396423,30.0,21.54170820280335,15.0,25.591674625873566,36.961825498720735,37.98633471626103,41.66787148492656,38.57959204255135,41.14172129322772 
 06/01  04:30:00,26.2,0.0,0.0,0.0,0.0,0.0,22.51519578514978,0.0,0.0,21.97750957297226,15.0,26.78055167198181,21.90779305268683,15.0,30.0,21.574983214433136,15.0,24.88153862953186,21.861871311621325,15.0,29.16924625635147,21.60870633195984,15.0,29.26755791902542,36.874059056886416,37.8978758418943,41.332679490771554,38.47947684955224,40.536850915471284 
 06/01  04:45:00,26.2,0.0,0.0,0.0,0.0,0.0,22.521368524260115,0.0,0.0,21.983670849659987,15.0,30.0,21.91391962557894,18.108604192733765,30.0,21.735372630687124,15.0,25.592853307724,21.868691399584723,15.0,30.0,21.739205011900783,15.0,26.43319207429886,36.88113703331548,37.90754045524869,39.95366114323882,38.477739344670425,39.476747779182 
 06/01  05:00:00,26.2,0.0,0.0,0.0,0.0,0.0,22.486957009058635,0.0,0.0,21.95784269585071,15.0,30.0,21.885664297118165,19.388126134872437,30.0,21.84260725813887,15.0,23.549925804138184,21.83895462846208,15.0,30.0,21.451644401883517,15.0,21.43319207429886,37.14570096601883,38.217361843567446,38.90515965621529,38.79600610292276,42.09026621881443 
